State,2020-01-22,2020-01-23,2020-01-24,2020-01-25,2020-01-26,2020-01-27,2020-01-28,2020-01-29,2020-01-30,2020-01-31,2020-02-01,2020-02-02,2020-02-03,2020-02-04,2020-02-05,2020-02-06,2020-02-07,2020-02-08,2020-02-09,2020-02-10,2020-02-11,2020-02-12,2020-02-13,2020-02-14,2020-02-15,2020-02-16,2020-02-17,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25,2020-08-26,2020-08-27,2020-08-28,2020-08-29,2020-08-30,2020-08-31,2020-09-01,2020-09-02,2020-09-03,2020-09-04,2020-09-05,2020-09-06,2020-09-07,2020-09-08,2020-09-09,2020-09-10,2020-09-11,2020-09-12,2020-09-13,2020-09-14,2020-09-15,2020-09-16,2020-09-17,2020-09-18,2020-09-19,2020-09-20,2020-09-21,2020-09-22,2020-09-23,2020-09-24,2020-09-25,2020-09-26,2020-09-27,2020-09-28,2020-09-29,2020-09-30,2020-10-01,2020-10-02,2020-10-03,2020-10-04,2020-10-05,2020-10-06,2020-10-07
Alabama,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.06,6.06,6.06,6.06,12.88,12.88,12.88,15.15,15.15,15.15,18.94,29.92,29.92,38.26,44.32,44.32,44.32,44.32,48.86,48.86,48.86,48.86,52.65,52.65,52.65,61.74,61.74,61.74,64.02,68.94,68.94,68.94,68.94,68.94,68.94,68.94,68.94,68.94,68.94,68.94,68.94,68.94,68.94,68.94,68.94,68.94,68.94,68.94,68.94,68.94,68.94,68.94,68.94,67.8,67.8,60.23,60.23,60.23,60.23,60.23,60.23,60.23,60.23,60.23,60.23,60.23,57.95,57.95,57.95,57.95,57.95,57.95,57.95,57.95,57.95,57.95,50,48.48,48.48,48.48,48.48,48.48,48.48,48.48,48.48,48.48,48.48,48.48,48.48,48.48,48.48,51.52,49.24,49.24,49.24,49.24,49.24,49.24,49.24,49.24,49.24,49.24,49.24,49.24,49.24,49.24,47.73,47.73,47.73,47.73,47.73,47.73,47.73,47.73,47.73,47.73,47.73,47.73,47.73,47.73,47.73,47.73,47.73,47.73,47.73,47.73,47.73,47.73,47.73,47.73,47.73,47.73,47.73,47.73,47.73,47.73,47.73,47.73,47.73,47.73,47.73,47.73,47.73,47.73,47.73,47.73,47.73,47.73,47.73,47.73,47.73,47.73,47.73,47.73,47.73,47.73,47.73,47.73,47.73,47.73,47.73,47.73,47.73,44.7,44.7,44.7,44.7,44.7,44.7,44.7,44.7,46.21,46.21,46.21,46.21,43.94,43.94,43.94,43.94,43.94,43.94,43.94,43.94,43.94,43.94,43.94,42.42,42.42,42.42,42.42,42.42,42.42,42.42,42.42,42.42,42.42,42.42,42.42,42.42,42.42,42.42,42.42,42.42,42.42,42.42,42.42,42.42,42.42,42.42,42.42,NA,NA,NA,NA,NA,NA
Alaska,4.55,4.55,4.55,4.55,4.55,4.55,4.55,4.55,4.55,4.55,4.55,4.55,4.55,4.55,4.55,4.55,9.09,9.09,9.09,9.09,9.09,9.09,9.09,9.09,9.09,9.09,9.09,9.09,9.09,9.09,9.09,9.09,9.09,9.09,9.09,9.09,9.09,12.12,12.12,12.12,12.12,12.12,12.12,12.12,12.12,12.12,12.12,12.12,12.12,12.12,21.21,23.48,23.48,23.48,42.8,54.17,57.95,57.95,57.95,58.71,66.29,66.29,67.42,67.42,67.42,67.42,79.55,79.55,79.55,79.55,79.55,79.55,84.09,84.09,84.09,84.09,84.09,84.09,87.12,87.12,87.12,87.12,87.12,87.12,87.12,87.12,87.12,87.12,87.12,87.12,87.12,87.12,87.12,71.21,71.21,71.21,71.21,71.21,71.21,71.21,71.21,71.21,71.21,71.21,71.21,71.21,71.21,63.64,63.64,63.64,63.64,65.91,65.91,65.91,65.91,65.91,65.91,65.91,65.91,65.91,65.91,62.88,62.88,62.88,62.88,62.88,62.88,62.88,56.06,56.06,56.06,49.24,49.24,49.24,49.24,46.97,46.97,46.97,46.97,46.97,46.97,46.97,46.97,46.97,46.97,46.97,46.97,46.97,46.97,46.97,46.97,46.97,46.97,46.97,46.97,46.97,46.97,46.97,46.97,46.97,46.97,46.97,46.97,42.42,42.42,42.42,42.42,42.42,42.42,42.42,42.42,42.42,42.42,42.42,42.42,46.97,46.97,46.97,46.97,46.97,46.97,46.97,46.97,46.97,46.59,46.59,46.59,46.59,46.59,46.59,46.59,46.59,46.59,46.59,52.65,52.65,52.65,52.65,52.65,52.65,52.65,52.65,52.65,52.65,52.65,52.65,52.65,52.65,52.65,52.65,55.68,55.68,55.68,60.23,60.23,60.23,60.23,60.23,60.23,60.23,60.23,60.23,57.2,57.2,57.2,57.2,57.2,57.2,57.2,57.2,57.2,57.2,57.2,57.2,57.2,57.2,57.2,57.2,57.2,57.2,57.2,57.2,57.2,57.2,57.2,57.2,57.2,57.2,57.2,57.2,57.2,57.2,57.2,57.2,57.2,57.2,57.2,57.2,57.2,57.2
Arizona,0,0,0,0,12.12,12.12,12.12,12.12,12.12,12.12,12.12,12.12,12.12,12.12,12.12,12.12,12.12,12.12,12.12,12.12,12.12,12.12,12.12,12.12,12.12,12.12,12.12,12.12,12.12,12.12,12.12,12.12,12.12,12.12,12.12,12.12,12.12,12.12,12.12,12.12,16.67,16.67,16.67,16.67,16.67,16.67,16.67,16.67,16.67,16.67,16.67,16.67,16.67,16.67,21.21,25.76,25.76,34.85,34.85,34.85,34.85,34.85,34.85,34.85,34.85,34.85,34.85,34.85,34.85,46.97,46.97,46.97,46.97,46.97,46.97,46.97,46.97,46.97,63.64,63.64,63.64,63.64,63.64,63.64,63.64,63.64,63.64,63.64,63.64,63.64,63.64,63.64,63.64,63.64,63.64,63.64,63.64,63.64,63.64,68.18,68.18,68.18,68.18,68.18,68.18,68.18,68.18,68.18,68.18,68.18,68.18,68.18,68.18,68.18,68.18,48.48,48.48,48.48,48.48,48.48,48.48,48.48,48.48,48.48,48.48,48.48,48.48,48.48,48.48,48.48,48.48,48.48,48.48,48.48,48.48,48.48,48.48,48.48,48.48,48.48,48.48,48.48,48.48,48.48,48.48,48.48,48.48,48.48,48.48,48.48,48.48,48.48,48.48,48.48,48.48,48.48,48.48,48.48,48.48,51.52,51.52,51.52,51.52,51.52,51.52,51.52,51.52,51.52,51.52,51.52,51.52,54.55,54.55,54.55,54.55,54.55,54.55,54.55,54.55,54.55,54.55,54.55,54.55,54.55,54.55,54.55,54.55,54.55,54.55,54.55,54.55,54.55,54.55,54.55,65.91,65.91,65.91,65.91,65.91,65.91,65.91,64.39,55.3,55.3,55.3,55.3,55.3,55.3,53.79,53.79,53.79,53.79,53.79,53.79,53.79,53.79,53.79,53.79,53.79,53.79,53.79,53.79,53.79,53.79,53.79,53.79,53.79,53.79,53.79,53.79,53.79,53.79,53.79,53.79,46.97,46.97,46.97,46.97,46.97,46.97,46.97,46.97,46.97,46.97,46.97,46.97,46.97,43.94,43.94,43.94,43.94,43.94,43.94,39.39,39.39,39.39,39.39,39.39,39.39,39.39
Arkansas,0,0,0,0,0,0,0,7.58,7.58,7.58,7.58,7.58,7.58,7.58,7.58,7.58,7.58,7.58,7.58,7.58,7.58,7.58,7.58,7.58,7.58,7.58,7.58,7.58,7.58,7.58,7.58,7.58,7.58,7.58,7.58,7.58,7.58,7.58,7.58,7.58,7.58,7.58,7.58,7.58,7.58,7.58,7.58,7.58,7.58,12.12,13.64,19.32,19.32,19.32,26.52,38.64,38.64,38.64,38.64,38.64,38.64,38.64,38.64,38.64,38.64,45.45,45.45,45.45,45.45,45.45,45.45,45.45,45.45,45.45,45.45,45.45,45.45,45.45,45.45,45.45,45.45,45.45,45.45,45.45,45.45,45.45,45.45,45.45,45.45,45.45,48.48,48.48,53.03,53.03,53.03,53.03,53.03,53.03,53.03,53.03,53.03,53.03,53.03,46.21,59.85,59.85,59.85,59.85,59.85,59.85,59.85,59.85,59.85,59.85,62.88,62.88,62.88,62.88,62.88,62.88,62.88,62.88,62.88,62.88,62.88,62.88,62.88,62.88,62.88,62.88,62.88,62.88,62.88,62.88,62.88,62.88,62.88,62.88,62.88,62.88,62.88,62.88,62.88,62.88,62.88,49.24,49.24,49.24,49.24,49.24,49.24,49.24,49.24,49.24,49.24,49.24,49.24,49.24,49.24,49.24,49.24,49.24,49.24,49.24,49.24,49.24,49.24,49.24,49.24,49.24,49.24,49.24,49.24,49.24,49.24,49.24,49.24,49.24,49.24,49.24,49.24,49.24,49.24,49.24,49.24,49.24,49.24,49.24,49.24,49.24,49.24,49.24,49.24,49.24,49.24,49.24,49.24,49.24,49.24,49.24,49.24,49.24,49.24,49.24,49.24,49.24,49.24,49.24,49.24,53.79,53.79,53.79,53.79,53.79,53.79,49.24,49.24,49.24,44.7,44.7,44.7,44.7,44.7,44.7,44.7,44.7,44.7,44.7,44.7,44.7,44.7,44.7,44.7,44.7,44.7,44.7,44.7,44.7,44.7,44.7,44.7,44.7,44.7,44.7,44.7,44.7,44.7,44.7,44.7,44.7,44.7,44.7,44.7,44.7,44.7,44.7,44.7,44.7,44.7,NA
California,2.27,2.27,2.27,2.27,9.85,9.85,9.85,9.85,9.85,9.85,9.85,14.39,14.39,14.39,14.39,14.39,14.39,14.39,14.39,14.39,14.39,14.39,14.39,14.39,14.39,14.39,14.39,14.39,14.39,14.39,14.39,14.39,14.39,14.39,14.39,14.39,14.39,14.39,14.39,14.39,14.39,14.39,14.39,14.39,14.39,21.97,21.97,21.97,21.97,34.09,34.09,35.61,35.61,35.61,40.15,53.79,58.33,70.45,70.45,70.45,70.45,70.45,70.45,70.45,70.45,70.45,70.45,70.45,70.45,70.45,70.45,70.45,70.45,70.45,70.45,70.45,70.45,70.45,70.45,70.45,70.45,70.45,70.45,70.45,70.45,70.45,70.45,70.45,73.48,73.48,73.48,73.48,73.48,73.48,73.48,73.48,73.48,73.48,73.48,73.48,73.48,73.48,73.48,73.48,73.48,73.48,73.48,61.36,61.36,61.36,61.36,61.36,61.36,61.36,61.36,61.36,61.36,61.36,61.36,61.36,61.36,65.91,65.91,65.91,65.91,65.91,65.91,65.91,65.91,65.91,65.91,65.91,65.91,65.91,65.91,65.91,65.91,65.91,65.91,65.91,65.91,65.91,65.91,65.91,65.91,65.91,65.91,65.91,65.91,65.91,65.91,65.91,65.91,65.91,65.91,65.91,65.91,65.91,65.91,65.91,65.91,65.91,65.91,65.91,65.91,65.91,65.91,65.91,65.91,65.91,65.91,65.91,65.91,65.91,65.91,65.91,65.91,65.91,65.91,65.91,65.91,65.91,65.91,65.91,65.91,65.91,65.91,65.91,65.91,65.91,65.91,65.91,65.91,65.91,65.91,65.91,65.91,65.91,64.39,64.39,64.39,64.39,64.39,64.39,64.39,64.39,64.39,64.39,64.39,64.39,64.39,67.42,67.42,67.42,67.42,67.42,67.42,64.39,64.39,63.26,63.26,63.26,63.26,63.26,63.26,63.26,63.26,63.26,63.26,63.26,63.26,63.26,63.26,63.26,63.26,63.26,63.26,63.26,63.26,63.26,63.26,63.26,63.26,63.26,66.29,66.29,66.29,66.29,66.29,66.29,66.29,66.29,66.29,66.29,66.29,66.29,66.29,66.29,66.29,66.29
Colorado,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.55,4.55,4.55,4.55,7.58,7.58,7.58,7.58,7.58,7.58,7.58,7.58,7.58,7.58,15.53,15.53,15.53,23.86,35.23,35.23,35.23,43.18,43.18,43.18,43.18,44.7,57.58,57.58,62.88,62.88,62.88,65.15,68.18,68.18,68.18,68.18,68.18,68.18,68.18,68.18,68.18,68.18,68.18,68.18,68.18,68.18,68.18,68.18,68.18,68.18,68.18,68.18,68.18,68.18,68.18,68.18,68.18,68.18,68.18,68.18,61.36,61.36,65.91,65.91,65.91,65.91,65.91,65.91,65.91,65.91,65.91,65.91,62.12,62.12,62.12,62.12,62.12,62.12,62.12,62.12,62.12,65.15,65.15,65.15,65.15,65.15,65.15,65.15,65.15,65.15,65.15,65.15,65.15,65.15,65.15,63.64,63.64,63.64,63.64,63.64,63.64,63.64,63.64,63.64,63.64,63.64,63.64,63.64,63.64,63.64,63.64,63.64,59.09,59.09,59.09,59.09,59.09,59.09,59.09,59.09,59.09,59.09,56.82,56.82,56.82,56.82,56.82,56.82,56.82,56.82,56.82,56.82,56.82,56.82,56.82,56.82,56.82,56.82,56.82,56.82,56.82,56.82,56.82,56.82,56.82,56.82,56.82,61.36,61.36,61.36,61.36,61.36,61.36,61.36,61.36,61.36,61.36,61.36,61.36,61.36,61.36,61.36,61.36,61.36,61.36,61.36,61.36,61.36,61.36,61.36,61.36,61.36,61.36,61.36,61.36,61.36,61.36,61.36,61.36,58.33,58.33,58.33,58.33,58.33,58.33,58.33,58.33,58.33,58.33,58.33,58.33,58.33,58.33,58.33,58.33,58.33,58.33,56.06,56.06,56.06,56.06,51.89,51.89,51.89,51.89,51.89,51.89,51.89,51.89,51.89,51.89,51.89,51.89,51.89,51.89,51.89,51.89,51.89,51.89,51.89,51.89,51.89,51.89,51.89
Connecticut,0,0,0,0,0,4.55,4.55,4.55,4.55,4.55,4.55,4.55,4.55,4.55,4.55,4.55,4.55,4.55,4.55,4.55,4.55,4.55,4.55,4.55,4.55,4.55,4.55,4.55,4.55,4.55,4.55,4.55,4.55,4.55,4.55,9.09,9.09,12.12,12.12,12.12,12.12,12.12,12.12,12.12,12.12,12.12,16.67,23.48,28.03,28.03,32.58,35.61,35.61,35.61,43.94,45.45,45.45,46.59,46.59,46.59,54.17,57.2,57.2,57.2,60.61,65.15,65.15,65.15,65.15,65.15,65.15,65.15,65.15,65.15,65.15,65.15,65.15,65.15,65.15,65.15,65.15,65.15,65.15,65.15,65.15,65.15,68.18,68.18,68.18,68.18,68.18,68.18,68.18,68.18,68.18,68.18,68.18,68.18,68.18,68.18,68.18,68.18,68.18,68.18,68.18,68.18,68.18,68.18,68.18,68.18,68.18,68.18,71.21,71.21,71.21,71.21,71.21,75.76,75.76,72.73,72.73,72.73,72.73,72.73,72.73,72.73,72.73,72.73,72.73,72.73,72.73,71.59,71.59,71.59,71.59,71.59,71.59,71.59,71.59,71.59,71.59,71.59,71.59,71.59,71.59,71.59,71.59,70.45,70.45,70.45,70.45,70.45,70.45,70.45,70.45,70.45,70.45,70.45,70.45,70.45,70.45,70.45,70.45,62.88,62.88,62.88,61.36,61.36,61.36,61.36,61.36,61.36,61.36,61.36,61.36,61.36,61.36,61.36,61.36,61.36,61.36,61.36,61.36,61.36,65.91,65.91,65.91,65.91,65.91,65.91,65.91,65.91,65.91,65.91,65.91,65.91,65.91,65.91,65.91,65.91,65.91,65.91,65.91,65.91,65.91,65.91,65.91,65.91,65.91,65.91,65.91,65.91,67.42,67.42,67.42,67.42,67.42,65.91,65.91,65.91,65.91,65.91,64.39,64.39,64.39,64.39,64.39,64.39,64.39,64.39,64.39,64.39,64.39,64.39,64.39,64.39,64.39,64.39,64.39,64.39,64.39,64.39,64.39,64.39,64.39,64.39,64.39,64.39,64.39,64.39,64.39,64.39,64.39,64.39,NA,NA,NA,NA,NA,NA
Delaware,0,0,0,0,0,0,4.55,4.55,4.55,4.55,4.55,7.58,7.58,7.58,7.58,7.58,9.85,9.85,9.85,9.85,9.85,9.85,9.85,9.85,9.85,9.85,9.85,9.85,9.85,9.85,9.85,9.85,9.85,9.85,9.85,9.85,9.85,9.85,9.85,9.85,14.39,14.39,14.39,14.39,14.39,14.39,14.39,17.42,17.42,21.97,26.52,31.06,31.06,31.06,57.58,57.58,62.12,62.12,62.12,62.12,62.12,62.12,65.15,65.15,65.15,65.15,65.15,65.15,69.7,69.7,69.7,71.97,71.97,71.97,71.97,71.97,71.97,71.97,71.97,71.97,71.97,71.97,71.97,71.97,71.97,71.97,71.97,71.97,71.97,71.97,71.97,71.97,71.97,71.97,71.97,71.97,71.97,71.97,71.97,71.97,71.97,71.97,71.97,71.97,71.97,71.97,71.97,75,75,75,75,79.55,79.55,79.55,79.55,79.55,79.55,79.55,79.55,79.55,79.55,79.55,79.55,79.55,79.55,79.55,79.55,79.55,79.55,79.55,79.55,75,75,75,75,75,75,75,75,75,75,75,75,75,75,68.94,68.94,68.94,68.94,68.94,68.94,68.94,68.94,68.94,68.94,68.94,68.94,68.94,68.94,68.94,68.94,68.94,68.94,67.42,67.42,67.42,67.42,67.42,67.42,67.42,67.42,67.42,67.42,67.42,67.42,64.39,67.42,67.42,67.42,67.42,67.42,67.42,67.42,67.42,67.42,67.42,67.42,67.42,67.42,67.42,67.42,67.42,67.42,67.42,67.42,67.42,67.42,67.42,67.42,67.42,67.42,67.42,67.42,67.42,67.42,67.42,67.42,67.42,67.42,67.42,67.42,67.42,67.42,67.42,67.42,67.42,67.42,67.42,67.42,64.39,64.39,64.39,64.39,64.39,64.39,64.39,53.79,53.79,53.79,53.79,53.79,53.79,53.79,53.79,53.79,53.79,53.79,53.79,53.79,53.79,53.79,53.79,53.79,53.79,53.79,53.79,53.79,53.79,53.79,53.79,53.79,53.79,53.79,53.79,NA,NA,NA,NA,NA,NA
Florida,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.55,4.55,4.55,4.55,4.55,16.67,16.67,16.67,16.67,16.67,16.67,16.67,16.67,16.67,16.67,16.67,25.76,28.03,28.03,28.03,42.42,55.68,51.89,51.89,57.2,57.2,57.2,57.2,66.29,66.29,66.29,66.29,66.29,66.29,66.29,66.29,66.29,66.29,70.08,70.08,70.08,70.08,70.08,70.08,70.08,70.08,70.08,70.08,70.08,70.08,70.08,70.08,70.08,70.08,70.08,70.08,70.08,70.08,70.08,70.08,70.08,70.08,70.08,70.08,70.08,70.08,70.08,70.08,70.08,66.29,66.29,66.29,66.29,66.29,66.29,66.29,66.29,66.29,66.29,66.29,66.29,66.29,66.29,66.29,66.29,63.26,63.26,63.26,63.26,63.26,63.26,63.26,63.26,63.26,63.26,63.26,63.26,63.26,63.26,63.26,63.26,63.26,63.26,63.26,60.23,60.23,60.23,60.23,60.23,60.23,60.23,60.23,60.23,60.23,60.23,60.23,60.23,60.23,60.23,60.23,60.23,60.23,60.23,60.23,60.23,60.23,60.23,60.23,60.23,63.26,63.26,63.26,63.26,63.26,63.26,63.26,63.26,63.26,63.26,63.26,63.26,63.26,63.26,63.26,63.26,63.26,63.26,63.26,63.26,63.26,66.29,66.29,66.29,66.29,66.29,66.29,66.29,66.29,63.26,63.26,63.26,63.26,51.89,51.89,51.89,51.89,51.89,51.89,51.89,51.89,51.89,51.89,51.89,51.89,48.86,48.86,48.86,48.86,48.86,48.86,48.86,48.86,48.86,48.86,48.86,48.86,48.86,48.86,45.83,45.83,45.83,45.83,45.83,45.83,45.83,45.83,45.83,45.83,45.83,45.83,45.83,45.83,45.83,45.83,45.83,45.83,45.83,45.83,45.83,45.83,45.83,45.83,45.83,39.02,39.02,39.02,39.02,39.02,39.02,39.02,34.47,34.47,34.47,34.47,34.47,34.47
Georgia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.42,26.52,26.52,29.55,29.55,29.55,35.61,35.61,35.61,35.61,35.61,38.64,38.64,38.64,38.64,38.64,38.64,38.64,38.64,38.64,38.64,45.45,51.52,51.52,51.52,51.52,51.52,51.52,51.52,51.52,51.52,51.52,51.52,51.52,51.52,51.52,51.52,51.52,51.52,53.79,53.79,53.79,52.27,52.27,52.27,55.3,55.3,55.3,55.3,55.3,55.3,55.3,55.3,59.85,59.85,59.85,62.88,62.88,62.88,62.88,62.88,67.42,67.42,67.42,67.42,67.42,67.42,67.42,67.42,67.42,67.42,67.42,67.42,67.42,67.42,67.42,67.42,65.15,65.15,65.15,65.15,65.15,65.15,65.15,65.15,65.15,65.15,65.15,65.15,65.15,65.15,65.15,65.15,65.15,65.15,65.15,65.15,65.15,65.15,65.15,65.15,65.15,65.15,65.15,65.15,65.15,65.15,65.15,65.15,65.15,65.15,59.09,59.09,59.09,59.09,59.09,59.09,59.09,59.09,59.09,59.09,59.09,59.09,57.58,57.58,57.58,57.58,57.58,57.58,57.58,57.58,57.58,57.58,57.58,57.58,57.58,57.58,57.58,57.58,57.58,57.58,57.58,57.58,57.58,57.58,57.58,57.58,57.58,57.58,57.58,57.58,57.58,57.58,57.58,57.58,57.58,57.58,54.55,53.03,53.03,53.03,53.03,53.03,53.03,53.03,51.52,51.52,51.52,51.52,51.52,51.52,51.52,51.52,51.52,51.52,51.52,51.52,51.52,51.52,51.52,51.52,51.52,51.52,51.52,51.52,51.52,51.52,53.03,53.03,53.03,48.48,48.48,48.48,48.48,48.48,48.48,48.48,48.48,48.48,48.48,48.48,48.48,48.48,49.24,49.24,49.24,49.24,49.24,49.24,49.24
