State,Lat,Long_,2020-01-22,2020-01-23,2020-01-24,2020-01-25,2020-01-26,2020-01-27,2020-01-28,2020-01-29,2020-01-30,2020-01-31,2020-02-01,2020-02-02,2020-02-03,2020-02-04,2020-02-05,2020-02-06,2020-02-07,2020-02-08,2020-02-09,2020-02-10,2020-02-11,2020-02-12,2020-02-13,2020-02-14,2020-02-15,2020-02-16,2020-02-17,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25,2020-08-26,2020-08-27,2020-08-28,2020-08-29,2020-08-30,2020-08-31,2020-09-01,2020-09-02,2020-09-03,2020-09-04,2020-09-05,2020-09-06,2020-09-07,2020-09-08,2020-09-09,2020-09-10,2020-09-11,2020-09-12,2020-09-13,2020-09-14,2020-09-15,2020-09-16,2020-09-17,2020-09-18,2020-09-19,2020-09-20,2020-09-21,2020-09-22,2020-09-23,2020-09-24,2020-09-25,2020-09-26,2020-09-27,2020-09-28,2020-09-29,2020-09-30,2020-10-01,2020-10-02,2020-10-03
Alabama,32.3182,-86.9023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3470,3635,3839,3957,4212,4423,4559,4731,4916,5134,5397,5630,5817,5817,6202,6311,6508,6656,6816,7005,7323,7598,7814,8122,8348,8677,9002,9278,9496,9761,10029,10250,10628,10890,11189,11283,11597,11872,12530,12759,5178,5617,5976,6469,7119,7498,6584,7066,7386,7967,8629,8758,6803,7024,7316,7959,8413,8812,9298,7737,8582,9433,10320,11334,11990,12619,10548,11422,12206,12737,13208,13639,14259,12307,13444,14410,15298,15656,17380,18229,19124,17044,18777,19773,20864,21789,22670,23822,22323,23621,25050,26683,28638,30308,28120,30122,32090,34212,35988,37864,39319,40713,40305,42057,44164,45311,47114,48365,49734,48796,50742,52345,54416,55627,56635,55036,56955,58643,60495,61643,63300,64081,61381,62144,62893,64161,65012,65556,66902,68011,65791,66952,67837,68363,70002,70521,69181,70919,72050,73709,75045,75848,77388,74868,75898,76973,78374,78884,79543,80175,77909,79041,80147,81073,82181,82881,84472,77463,78124,79203,80495,81293,82109,82895,80082,81117,83584,84507,85237,85899,86454,84213,85248,86200,87874
Alaska,61.3707,-152.4044,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,264,269,276,284,291,300,305,310,312,320,326,328,330,330,331,336,342,346,94,101,95,97,98,85,78,73,62,50,45,41,39,35,34,35,34,34,33,42,39,35,37,39,39,37,38,37,48,52,55,81,88,105,121,126,133,143,151,168,172,189,201,209,236,237,234,234,245,246,251,265,265,255,246,270,288,300,316,345,362,397,433,465,506,547,574,598,603,642,680,718,770,847,902,920,945,988,1020,1070,1145,1220,1287,1359,1387,1430,1504,1688,1785,1872,1922,1971,2069,2182,2324,2370,2382,2406,2238,2273,2333,2416,2416,2449,2493,2576,2675,2744,2813,2849,2874,2908,2978,2957,2960,2964,2917,2840,2770,2828,2872,2944,2956,2988,3012,3042,3136,3249,3314,3395,3428,3447,3509,3619,3702,3786,3847,3922,3938,3981,4085,4177,4246,4339,4408,4223,4228,4355,4160,4048,3923,3770,3342,3213,3053,2974,2960
Arizona,33.7298,-111.4312,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3427,3583,3678,3822,4087,4342,4544,4749,4877,5048,5242,5523,5779,6013,6259,6450,6680,6901,5836,6111,6469,6681,6930,7239,7588,7773,8262,7744,7808,7989,8265,8642,8976,9373,9630,9815,9951,10178,10386,10712,10900,11219,11444,11564,11757,12123,12565,13035,13697,14268,14342,15354,16297,16715,18126,19009,20421,20986,21456,22900,24152,25903,27262,28182,29179,31359,32973,35299,38571,41585,43855,45667,49236,50787,53647,56734,59885,63400,63768,68172,72665,75544,79596,81847,84917,87790,90907,93848,97292,100957,103385,105401,106324,110082,112765,115437,118756,120874,122714,123881,126902,128342,130144,132987,136189,137731,139202,140900,142825,144814,147602,150191,151289,152016,152716,154049,155123,156157,156807,157246,157521,158436,158678,159675,160269,160823,161449,161699,162364,162690,163125,163480,164207,164185,164302,164955,164829,165271,165557,165949,166092,166124,166457,166775,167622,168126,168762,168825,168879,168821,169139,169419,169763,170185,170373,170428,170770,171286,172870,173965,174416,174709,174827,175295,175532,175900,176216,176474,176742,176888,177427,177596,178127,178517,178998
Arkansas,34.9697,-92.3731,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1253,1381,1466,1536,1583,1658,1706,1742,1932,1948,2234,2554,2763,2863,2950,3018,3070,3136,1915,1300,1313,1362,1395,1401,1415,1493,1500,691,953,800,849,919,991,975,1008,1071,1068,1082,1044,1433,1470,1631,1658,1663,1729,1733,1830,2062,1714,1845,1909,2281,2208,2557,2580,2681,2848,3161,3044,3087,3294,3764,4311,4212,4383,4651,4413,4344,4705,4836,5254,5063,5221,5567,5695,6364,6267,6284,5926,5976,5757,6098,6177,6197,6801,6127,6377,6216,5751,5848,6903,6455,6510,6637,6439,6578,6633,7400,7579,7167,6998,6876,7009,7028,7755,6600,6674,6565,6596,6580,6645,6681,7312,6882,6891,6937,6958,7158,7916,7387,7343,6847,7526,6582,6359,6487,6494,6341,5898,5919,5666,5854,5761,5636,5509,5312,5390,5341,5496,5473,5664,5466,5036,5010,5331,5755,5840,6188,6062,5844,5558,5196,5713,6119,6175,6895,6932,6917,7900,8764,7976,6689,8233,6588,6782,7066,7254,7419,7332,7147,6965,7016,7251,8202,7346
California,36.1162,-119.6816,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22155,23217,24589,25826,26721,28120,29351,30254,32461,34183,35923,38028,39734,40679,41833,43187,44300,46801,48099,49900,51167,52687,53606,56075,58152,59613,61166,63871,64884,66550,68099,69841,71819,73557,75517,76926,78178,80349,82500,84448,86586,88801,90266,92631,95568,97155,99820,102545,105751,107779,110516,112910,114974,117724,121209,123986,125983,129159,131896,134861,138443,141681,144942,147201,150612,153761,157527,161731,165436,169719,173031,179199,185851,190200,195306,200976,204685,209364,217663,225150,232512,240285,244199,246561,258308,264594,277439,285842,295625,303930,311734,317492,326268,338961,347510,357217,365656,373043,379191,390100,401417,413239,422572,431848,438044,443840,449627,462083,476005,483908,491342,497268,502779,507410,517001,520798,531318,536681,544081,549369,563755,568423,580623,587114,601953,606776,612630,618119,626636,635584,640457,646954,652304,657127,663326,668650,674472,679144,684580,689144,693014,699453,702467,707964,712525,717024,721605,725125,727207,730521,733307,736884,740675,744606,747350,750695,753610,756630,760233,764598,768295,771152,775040,777876,781145,784123,788144,791868,794284,797078,799872,803230,806232,809959,813406
Colorado,39.0598,-105.3111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7018,7385,7623,7628,7931,8319,8658,9310,9310,9990,10385,10726,11582,12284,12753,13173,13580,13992,12092,12486,12840,13186,13417,13721,14112,14557,14998,15434,15709,15816,16033,16242,16535,16865,17129,17377,17632,17794,18020,18349,18583,19025,19202,19257,19498,19621,19903,20324,20782,21000,21186,21346,21569,21820,22043,22252,22386,22535,22668,22782,22900,23056,23221,23339,23483,23614,23794,23995,24249,24390,24568,24710,24870,25102,25402,25695,25902,26172,26354,26529,26813,27110,27353,27591,27779,27946,28315,28726,29132,29758,30120,30421,30711,31122,31549,32083,32666,33091,33424,33821,34259,34845,35414,36050,36844,37366,37566,38277,38713,39087,39644,40071,40506,40713,41103,41670,42095,42528,42959,43277,43604,43969,44254,44688,44987,45263,45601,45760,46001,46253,46549,46542,47155,47401,47579,48013,48179,48511,48909,49157,49328,49513,49856,50068,50320,50301,50966,51230,51434,51604,51821,52074,52360,52749,53149,53515,53899,54467,54899,55480,56069,56549,57070,57702,58287,58812,59487,60045,60593,60984,61489,61964,62612,63263,63897
Connecticut,41.5978,-72.7554,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11481,12779,13318,13887,14913,15773,16464,16835,18484,18937,20925,21461,22169,22718,23345,23985,24225,24598,25443,22079,22505,22505,23071,23642,23931,23574,24124,24639,25174,25344,25879,26317,25981,26536,27100,27747,28402,28694,29224,29361,28876,29220,29648,30004,30407,30358,30606,30767,30983,31130,31259,31496,31591,31948,32138,32479,32613,32724,32798,32943,32704,32919,33197,33276,33420,33528,33599,33372,33477,33622,33653,33677,33780,33784,33643,33699,33842,33934,33989,34139,34195,34110,34172,34172,34172,34428,34485,34555,34510,34588,34588,34588,34788,34807,34905,34895,35031,35031,35031,35183,35224,35351,35306,35847,35847,35847,36049,36138,36599,36626,36765,36765,36765,37012,37060,37175,37087,37158,37158,37158,37402,37519,37535,37523,37635,37635,37635,38002,37990,38048,38081,38166,38166,38166,38658,38684,38864,38918,39063,39063,39063,39447,39573,39674,39692,39848,39848,39848,39848,40259,40348,40473,40704,40704,40704,41268,41404,41537,41694,41831,41831,41831,42325,42460,42614,42663,42776,42776,42776,43334,43514,43732,43823,44376,44376
Delaware,39.3185,-75.5071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1590,1717,1883,1968,2015,2256,2471,2471,2673,2849,3111,3216,3342,3464,3914,4037,4438,4511,3307,3356,3324,3391,3390,3337,3577,3627,3610,3606,3519,3721,3702,3763,3883,3892,3894,3902,4027,3973,3919,3939,3911,3753,3885,3940,3929,3843,3816,3777,3856,3866,3884,3870,3844,3798,3754,3759,3752,3783,3722,3704,3691,3697,3694,3670,3745,3723,3713,3718,3783,3852,3881,3926,3789,3786,3827,3849,3919,4054,4204,4298,4325,4543,4719,4773,4876,5003,5085,5054,5113,5186,5224,5167,5223,5267,5293,5324,5501,5544,5634,5739,5859,5406,5502,5688,5635,5715,5792,5820,5913,5968,6024,6080,6129,6203,6247,6370,6413,6465,6496,6535,6543,6589,6654,6787,7134,7154,7187,7230,7251,7268,7314,7331,7305,7359,7366,7349,7332,7271,7323,7474,7421,7443,7511,7476,7533,7564,7643,7738,7793,7779,7779,7826,7919,8050,8157,8229,8354,8426,8506,8545,8571,8646,8664,8722,8758,8830,8937,8982,9070,9178,9297,9355,9503,9617,9732
Florida,27.7663,-81.6868,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19434,122520,21057,21915,22675,24034,24744,25540,26237,27002,27416,28661,29487,29784,30457,31050,31677,31975,32422,33414,34099,34699,35498,35968,36463,37228,37530,38286,38875,39247,40144,40575,41335,42221,42847,43615,44445,44892,45375,46531,47261,47894,48630,49494,49996,50315,50921,52084,52977,53712,54370,54917,56198,57576,58828,60070,61238,62192,63235,64570,66221,68094,70627,72637,74388,77116,79701,82865,86644,90653,94130,97044,100265,105733,110691,119594,129155,137656,142894,148929,155447,165489,174910,186350,196380,202669,209953,219894,228709,240049,250314,265569,278158,287220,297289,311098,322436,332674,345065,355322,364628,374274,384350,396659,408734,418001,426816,435860,445090,454793,463543,473006,480048,484727,489928,495112,502642,510148,518468,524620,528684,534239,542136,548224,554144,560292,563964,566555,570174,574115,578553,583118,587323,590246,592432,594922,597989,601123,604849,607898,610467,612284,619666,621941,625363,628461,632056,634582,636398,638177,640149,642405,645879,648971,651386,653088,656059,658262,661370,664435,667946,670458,672122,674493,676881,679245,681972,684660,686532,687265,690425,692199,694700,697250,699963
Georgia,33.0406,-83.6431,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12019,12850,14053,14435,15082,16544,16996,17614,18632,19083,20366,21002,21592,22315,22570,23307,23886,24674,25132,26320,27154,27481,28205,28699,29416,30263,30781,31185,32174,32558,33426,33910,34432,35184,35614,35969,36634,37180,38104,38888,39674,40420,41075,41552,42087,42705,43293,43894,44327,45010,45808,46105,46771,47710,48447,49181,49718,50289,50964,51651,52598,53365,54357,55230,55920,56549,57455,58307,59373,61167,62058,63280,65115,66683,68350,70225,72209,74432,76633,78486,81415,84860,87636,90462,92656,94186,97571,100968,103797,108252,111405,113932,117546,120909,124747,128182,132060,136711,139955,142405,145734,148967,153246,157977,161694,164455,167334,171489,174681,178615,182600,186187,189337,191593,194027,197729,200869,204887,209241,212397,214796,218237,221697,224130,227322,230499,232328,234134,236883,239133,241837,244632,247130,248817,251097,253092,255279,257681,259901,262182,263369,264838,266964,268818,271420,273423,275571,277162,277763,279280,281172,282919,284535,286618,287981,288984,290597,292637,294429,296318,298422,299553,300735,301621,303392,304882,305640,306959,307739,308320,309312,311005,312296,313528,315036
