State,2020-01-22,2020-01-23,2020-01-24,2020-01-25,2020-01-26,2020-01-27,2020-01-28,2020-01-29,2020-01-30,2020-01-31,2020-02-01,2020-02-02,2020-02-03,2020-02-04,2020-02-05,2020-02-06,2020-02-07,2020-02-08,2020-02-09,2020-02-10,2020-02-11,2020-02-12,2020-02-13,2020-02-14,2020-02-15,2020-02-16,2020-02-17,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25,2020-08-26,2020-08-27,2020-08-28,2020-08-29,2020-08-30,2020-08-31,2020-09-01,2020-09-02,2020-09-03,2020-09-04,2020-09-05,2020-09-06,2020-09-07,2020-09-08,2020-09-09,2020-09-10,2020-09-11,2020-09-12,2020-09-13,2020-09-14,2020-09-15,2020-09-16,2020-09-17,2020-09-18,2020-09-19,2020-09-20,2020-09-21,2020-09-22,2020-09-23,2020-09-24,2020-09-25,2020-09-26,2020-09-27,2020-09-28,2020-09-29,2020-09-30,2020-10-01,2020-10-02,2020-10-03,2020-10-04,2020-10-05,2020-10-06,2020-10-07,2020-10-08,2020-10-09,2020-10-10,2020-10-11,2020-10-12
Alabama,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.13,5.13,5.13,5.13,10.9,10.9,10.9,12.82,12.82,12.82,17.95,27.24,27.24,34.29,39.42,39.42,39.42,39.42,43.27,43.27,43.27,43.27,46.47,46.47,46.47,54.17,54.17,54.17,56.09,60.26,60.26,60.26,60.26,60.26,60.26,60.26,60.26,60.26,60.26,60.26,64.1,64.1,64.1,64.1,64.1,64.1,64.1,64.1,64.1,64.1,64.1,64.1,64.1,63.14,63.14,56.73,56.73,56.73,56.73,56.73,56.73,56.73,56.73,56.73,56.73,56.73,54.81,54.81,54.81,54.81,54.81,54.81,54.81,54.81,54.81,54.81,48.08,46.79,46.79,46.79,46.79,46.79,46.79,46.79,46.79,46.79,46.79,46.79,46.79,46.79,46.79,49.36,47.44,47.44,47.44,47.44,47.44,47.44,47.44,47.44,47.44,47.44,47.44,47.44,47.44,47.44,46.15,46.15,46.15,46.15,46.15,46.15,46.15,46.15,46.15,46.15,46.15,46.15,46.15,46.15,46.15,46.15,46.15,46.15,46.15,46.15,46.15,46.15,46.15,46.15,46.15,46.15,46.15,46.15,46.15,46.15,46.15,46.15,46.15,46.15,46.15,46.15,46.15,46.15,46.15,46.15,46.15,46.15,46.15,46.15,46.15,46.15,46.15,46.15,46.15,46.15,46.15,46.15,46.15,46.15,46.15,46.15,46.15,43.59,43.59,43.59,43.59,43.59,43.59,43.59,43.59,44.87,44.87,44.87,44.87,42.95,42.95,42.95,42.95,42.95,42.95,42.95,42.95,42.95,42.95,42.95,41.67,41.67,41.67,41.67,41.67,41.67,41.67,41.67,41.67,41.67,41.67,41.67,41.67,41.67,41.67,41.67,41.67,41.67,41.67,41.67,41.67,41.67,41.67,41.67,41.67,41.67,41.67,41.67,41.67,41.67,41.67,NA,NA,NA,NA
Alaska,3.85,3.85,3.85,3.85,3.85,3.85,3.85,3.85,3.85,3.85,3.85,3.85,3.85,3.85,3.85,3.85,7.69,7.69,7.69,7.69,7.69,7.69,7.69,7.69,7.69,7.69,7.69,7.69,7.69,7.69,7.69,7.69,7.69,7.69,7.69,7.69,7.69,10.26,10.26,10.26,10.26,10.26,10.26,10.26,10.26,10.26,10.26,10.26,10.26,10.26,17.95,19.87,19.87,19.87,36.22,49.68,52.88,52.88,58.65,59.29,65.71,65.71,66.67,66.67,66.67,66.67,76.92,76.92,76.92,76.92,76.92,76.92,80.77,80.77,80.77,80.77,80.77,80.77,83.33,83.33,83.33,83.33,83.33,83.33,83.33,83.33,83.33,83.33,83.33,83.33,83.33,83.33,83.33,69.87,69.87,69.87,69.87,69.87,69.87,69.87,69.87,69.87,69.87,69.87,69.87,69.87,69.87,63.46,63.46,63.46,63.46,65.38,65.38,65.38,65.38,65.38,65.38,65.38,65.38,65.38,65.38,62.82,62.82,62.82,62.82,62.82,62.82,62.82,57.05,57.05,57.05,51.28,51.28,51.28,51.28,49.36,49.36,49.36,49.36,49.36,49.36,49.36,49.36,49.36,49.36,49.36,49.36,49.36,49.36,49.36,49.36,49.36,49.36,49.36,49.36,49.36,49.36,49.36,49.36,49.36,49.36,49.36,49.36,45.51,45.51,45.51,45.51,45.51,45.51,45.51,45.51,45.51,45.51,45.51,45.51,49.36,49.36,49.36,49.36,49.36,49.36,49.36,49.36,49.36,49.04,49.04,49.04,49.04,49.04,49.04,49.04,49.04,49.04,49.04,54.17,54.17,54.17,54.17,54.17,54.17,54.17,54.17,54.17,54.17,54.17,54.17,54.17,54.17,54.17,54.17,56.73,56.73,56.73,60.58,60.58,60.58,60.58,60.58,60.58,60.58,60.58,60.58,58.01,58.01,58.01,58.01,58.01,58.01,58.01,58.01,58.01,58.01,58.01,58.01,58.01,58.01,58.01,58.01,58.01,58.01,58.01,58.01,58.01,58.01,58.01,58.01,58.01,58.01,58.01,58.01,58.01,58.01,58.01,58.01,58.01,58.01,58.01,58.01,58.01,58.01,NA,NA,NA,NA,NA
Arizona,0,0,0,0,10.26,10.26,10.26,10.26,10.26,10.26,10.26,10.26,10.26,10.26,10.26,10.26,10.26,10.26,10.26,10.26,10.26,10.26,10.26,10.26,10.26,10.26,10.26,10.26,10.26,10.26,10.26,10.26,10.26,10.26,10.26,10.26,10.26,10.26,10.26,10.26,14.1,14.1,14.1,14.1,14.1,14.1,14.1,14.1,14.1,14.1,14.1,14.1,14.1,14.1,17.95,21.79,21.79,29.49,35.26,35.26,35.26,35.26,39.1,39.1,39.1,39.1,39.1,39.1,39.1,49.36,49.36,49.36,49.36,49.36,49.36,49.36,49.36,49.36,63.46,63.46,63.46,63.46,63.46,63.46,63.46,63.46,63.46,63.46,63.46,63.46,63.46,63.46,63.46,63.46,63.46,63.46,63.46,63.46,63.46,67.31,67.31,67.31,67.31,67.31,67.31,67.31,67.31,67.31,67.31,67.31,67.31,67.31,67.31,67.31,67.31,50.64,50.64,50.64,50.64,50.64,50.64,50.64,50.64,50.64,50.64,50.64,50.64,50.64,50.64,50.64,50.64,50.64,50.64,50.64,50.64,50.64,50.64,50.64,50.64,50.64,50.64,50.64,50.64,50.64,50.64,50.64,50.64,50.64,50.64,50.64,50.64,50.64,50.64,50.64,50.64,50.64,50.64,50.64,50.64,53.21,53.21,53.21,53.21,53.21,53.21,53.21,53.21,53.21,53.21,53.21,53.21,55.77,55.77,55.77,55.77,55.77,55.77,55.77,55.77,55.77,55.77,55.77,55.77,55.77,55.77,55.77,55.77,55.77,55.77,55.77,55.77,55.77,55.77,55.77,65.38,65.38,65.38,65.38,65.38,65.38,65.38,64.1,56.41,56.41,56.41,56.41,56.41,56.41,55.13,55.13,55.13,55.13,55.13,55.13,55.13,55.13,55.13,55.13,55.13,55.13,55.13,55.13,55.13,55.13,55.13,55.13,55.13,55.13,55.13,55.13,55.13,55.13,55.13,55.13,49.36,49.36,49.36,49.36,49.36,49.36,49.36,49.36,49.36,49.36,49.36,49.36,49.36,46.79,46.79,46.79,46.79,46.79,46.79,42.95,42.95,42.95,42.95,42.95,42.95,42.95,42.95,42.95,42.95,42.95,42.95
Arkansas,0,0,0,0,0,0,0,6.41,6.41,6.41,6.41,6.41,6.41,6.41,6.41,6.41,6.41,6.41,6.41,6.41,6.41,6.41,6.41,6.41,6.41,6.41,6.41,6.41,6.41,6.41,6.41,6.41,6.41,6.41,6.41,6.41,6.41,6.41,6.41,6.41,6.41,6.41,6.41,6.41,6.41,6.41,6.41,6.41,6.41,10.26,11.54,16.35,16.35,16.35,22.44,38.46,38.46,38.46,38.46,38.46,38.46,38.46,38.46,38.46,38.46,44.23,44.23,44.23,44.23,44.23,44.23,44.23,44.23,44.23,44.23,44.23,44.23,44.23,44.23,44.23,44.23,44.23,44.23,44.23,44.23,44.23,44.23,44.23,44.23,44.23,46.79,46.79,50.64,50.64,50.64,50.64,50.64,50.64,50.64,50.64,50.64,50.64,50.64,44.87,56.41,56.41,56.41,56.41,56.41,56.41,56.41,56.41,56.41,56.41,58.97,58.97,58.97,58.97,58.97,58.97,58.97,58.97,58.97,58.97,58.97,58.97,58.97,58.97,58.97,58.97,58.97,58.97,58.97,58.97,58.97,58.97,58.97,58.97,58.97,58.97,58.97,58.97,58.97,58.97,58.97,47.44,47.44,47.44,47.44,47.44,47.44,47.44,47.44,47.44,47.44,47.44,47.44,47.44,45.51,45.51,45.51,45.51,45.51,45.51,45.51,45.51,45.51,45.51,45.51,45.51,45.51,45.51,45.51,45.51,45.51,45.51,45.51,45.51,45.51,45.51,45.51,45.51,45.51,45.51,45.51,45.51,45.51,45.51,45.51,45.51,45.51,45.51,45.51,45.51,45.51,41.67,41.67,41.67,41.67,41.67,41.67,41.67,41.67,41.67,41.67,41.67,41.67,41.67,41.67,45.51,45.51,45.51,45.51,45.51,45.51,41.67,41.67,41.67,37.82,37.82,37.82,37.82,37.82,37.82,37.82,37.82,37.82,37.82,37.82,37.82,37.82,37.82,37.82,37.82,37.82,37.82,37.82,37.82,37.82,37.82,37.82,37.82,37.82,37.82,37.82,37.82,37.82,37.82,37.82,37.82,37.82,37.82,37.82,37.82,37.82,37.82,37.82,37.82,37.82,NA,NA,NA,NA,NA,NA
California,1.92,1.92,1.92,1.92,8.33,8.33,8.33,8.33,8.33,8.33,8.33,12.18,12.18,12.18,12.18,12.18,12.18,12.18,12.18,12.18,12.18,12.18,12.18,12.18,12.18,12.18,12.18,12.18,12.18,12.18,12.18,12.18,12.18,12.18,12.18,12.18,12.18,12.18,12.18,12.18,12.18,12.18,16.03,21.79,21.79,28.21,28.21,28.21,28.21,38.46,38.46,39.74,39.74,39.74,43.59,58.97,62.82,73.08,73.08,73.08,73.08,73.08,73.08,73.08,73.08,73.08,73.08,73.08,73.08,73.08,73.08,73.08,73.08,73.08,73.08,73.08,73.08,73.08,73.08,73.08,73.08,73.08,73.08,73.08,73.08,73.08,73.08,73.08,75.64,75.64,75.64,75.64,75.64,75.64,75.64,75.64,75.64,75.64,75.64,75.64,75.64,75.64,75.64,75.64,75.64,75.64,75.64,65.38,65.38,65.38,65.38,65.38,65.38,65.38,65.38,65.38,65.38,65.38,65.38,65.38,65.38,69.23,69.23,69.23,69.23,69.23,69.23,69.23,69.23,69.23,69.23,69.23,69.23,69.23,69.23,69.23,69.23,69.23,69.23,69.23,69.23,69.23,69.23,69.23,69.23,69.23,69.23,69.23,69.23,69.23,69.23,69.23,69.23,69.23,69.23,69.23,69.23,69.23,69.23,69.23,69.23,69.23,69.23,69.23,69.23,69.23,69.23,69.23,69.23,69.23,69.23,69.23,69.23,69.23,69.23,69.23,69.23,69.23,69.23,69.23,69.23,69.23,69.23,69.23,69.23,69.23,69.23,69.23,69.23,69.23,69.23,69.23,69.23,69.23,69.23,69.23,69.23,69.23,67.95,67.95,67.95,67.95,67.95,67.95,67.95,67.95,67.95,67.95,67.95,67.95,67.95,70.51,70.51,70.51,70.51,70.51,70.51,67.95,67.95,66.99,66.99,66.99,66.99,66.99,66.99,66.99,66.99,66.99,66.99,66.99,66.99,66.99,66.99,66.99,66.99,66.99,66.99,66.99,66.99,66.99,66.99,66.99,66.99,66.99,69.55,69.55,69.55,69.55,69.55,69.55,69.55,69.55,69.55,69.55,69.55,69.55,69.55,69.55,69.55,69.55,69.55,NA,NA,NA,NA
Colorado,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.85,3.85,3.85,3.85,6.41,6.41,6.41,6.41,6.41,6.41,6.41,6.41,12.18,12.18,18.91,18.91,18.91,25.96,35.58,35.58,35.58,42.31,50,50,50,51.28,62.18,62.18,66.67,66.67,66.67,68.59,71.15,71.15,71.15,71.15,71.15,71.15,71.15,71.15,71.15,71.15,71.15,71.15,71.15,71.15,71.15,71.15,71.15,71.15,71.15,71.15,71.15,71.15,71.15,71.15,71.15,71.15,71.15,71.15,65.38,65.38,69.23,65.38,65.38,65.38,65.38,65.38,65.38,65.38,65.38,65.38,62.18,62.18,62.18,62.18,62.18,62.18,62.18,62.18,62.18,64.74,64.74,64.74,64.74,64.74,64.74,64.74,64.74,64.74,64.74,64.74,64.74,64.74,64.74,63.46,63.46,63.46,63.46,63.46,63.46,63.46,63.46,63.46,63.46,63.46,63.46,63.46,63.46,63.46,63.46,63.46,59.62,59.62,59.62,59.62,59.62,59.62,59.62,59.62,59.62,59.62,57.69,57.69,57.69,57.69,57.69,57.69,57.69,57.69,57.69,57.69,57.69,57.69,57.69,57.69,57.69,57.69,57.69,57.69,57.69,57.69,57.69,57.69,57.69,57.69,57.69,61.54,61.54,61.54,61.54,61.54,61.54,61.54,61.54,61.54,61.54,61.54,61.54,61.54,61.54,61.54,61.54,61.54,61.54,61.54,61.54,61.54,61.54,61.54,61.54,61.54,61.54,61.54,61.54,61.54,61.54,61.54,61.54,58.97,58.97,58.97,58.97,58.97,58.97,58.97,58.97,58.97,58.97,58.97,58.97,58.97,58.97,58.97,58.97,58.97,58.97,57.05,57.05,57.05,57.05,53.53,53.53,53.53,53.53,53.53,53.53,53.53,53.53,53.53,53.53,53.53,53.53,53.53,53.53,53.53,53.53,53.53,53.53,53.53,53.53,53.53,53.53,53.53,53.53,NA,NA,NA,NA
Connecticut,0,0,0,0,0,3.85,3.85,3.85,3.85,3.85,3.85,3.85,3.85,3.85,3.85,3.85,3.85,3.85,3.85,3.85,3.85,3.85,3.85,3.85,3.85,3.85,3.85,3.85,3.85,3.85,3.85,3.85,3.85,3.85,3.85,7.69,7.69,10.26,10.26,10.26,10.26,10.26,10.26,10.26,10.26,10.26,14.1,19.87,23.72,23.72,27.56,33.97,33.97,33.97,41.03,42.31,42.31,43.27,43.27,43.27,49.68,52.24,52.24,52.24,55.13,58.97,58.97,58.97,58.97,62.82,62.82,62.82,62.82,62.82,62.82,62.82,62.82,62.82,62.82,62.82,62.82,62.82,62.82,62.82,62.82,62.82,65.38,65.38,65.38,65.38,65.38,65.38,65.38,65.38,65.38,65.38,65.38,65.38,65.38,65.38,65.38,65.38,65.38,65.38,65.38,65.38,65.38,65.38,65.38,65.38,65.38,65.38,67.95,67.95,67.95,67.95,67.95,71.79,71.79,69.23,69.23,69.23,69.23,69.23,69.23,69.23,69.23,69.23,69.23,69.23,69.23,70.19,70.19,72.12,72.12,72.12,72.12,72.12,72.12,72.12,72.12,72.12,72.12,72.12,72.12,72.12,72.12,71.15,71.15,71.15,71.15,71.15,71.15,71.15,71.15,71.15,71.15,71.15,71.15,71.15,71.15,71.15,71.15,64.74,64.74,64.74,63.46,63.46,63.46,63.46,63.46,63.46,63.46,63.46,63.46,63.46,63.46,63.46,63.46,63.46,63.46,63.46,63.46,63.46,67.31,67.31,67.31,67.31,67.31,67.31,67.31,67.31,67.31,67.31,67.31,67.31,67.31,67.31,67.31,67.31,67.31,67.31,67.31,67.31,67.31,67.31,67.31,67.31,67.31,67.31,67.31,67.31,68.59,68.59,68.59,68.59,68.59,67.31,67.31,67.31,67.31,67.31,66.03,66.03,66.03,66.03,66.03,66.03,66.03,66.03,66.03,66.03,66.03,66.03,66.03,66.03,66.03,66.03,66.03,66.03,66.03,66.03,66.03,66.03,66.03,66.03,66.03,66.03,66.03,66.03,66.03,66.03,66.03,66.03,66.03,66.03,66.03,66.03,66.03,66.03,66.03,NA,NA,NA,NA
Delaware,0,0,0,0,0,0,3.85,3.85,3.85,3.85,3.85,6.41,6.41,6.41,6.41,6.41,8.33,8.33,8.33,8.33,8.33,8.33,8.33,8.33,8.33,8.33,8.33,8.33,8.33,8.33,8.33,8.33,8.33,8.33,8.33,8.33,8.33,8.33,8.33,8.33,12.18,12.18,12.18,12.18,12.18,12.18,12.18,14.74,14.74,18.59,22.44,26.28,26.28,26.28,48.72,50.64,54.49,54.49,54.49,54.49,54.49,58.33,60.9,64.74,64.74,64.74,64.74,64.74,68.59,68.59,68.59,70.51,70.51,70.51,70.51,70.51,70.51,70.51,70.51,70.51,70.51,70.51,70.51,70.51,70.51,70.51,70.51,70.51,70.51,70.51,70.51,70.51,70.51,70.51,70.51,70.51,70.51,70.51,70.51,70.51,70.51,70.51,70.51,70.51,70.51,70.51,70.51,73.08,73.08,73.08,73.08,76.92,76.92,76.92,76.92,76.92,76.92,76.92,76.92,76.92,76.92,76.92,76.92,76.92,76.92,76.92,76.92,76.92,76.92,76.92,76.92,73.08,73.08,73.08,73.08,73.08,73.08,73.08,73.08,73.08,73.08,73.08,73.08,73.08,73.08,67.95,67.95,67.95,67.95,67.95,67.95,67.95,67.95,67.95,67.95,67.95,67.95,67.95,67.95,67.95,67.95,64.1,64.1,62.82,62.82,62.82,62.82,62.82,62.82,62.82,62.82,62.82,62.82,62.82,62.82,60.26,62.82,62.82,62.82,62.82,62.82,62.82,62.82,62.82,62.82,62.82,62.82,62.82,62.82,62.82,62.82,62.82,62.82,62.82,62.82,62.82,62.82,62.82,62.82,62.82,62.82,62.82,62.82,62.82,62.82,62.82,62.82,62.82,62.82,62.82,62.82,62.82,62.82,62.82,62.82,62.82,62.82,62.82,62.82,60.26,60.26,60.26,64.1,64.1,64.1,64.1,55.13,55.13,55.13,55.13,55.13,55.13,55.13,55.13,55.13,55.13,55.13,55.13,55.13,55.13,55.13,55.13,55.13,55.13,55.13,55.13,55.13,55.13,55.13,55.13,55.13,55.13,55.13,55.13,55.13,55.13,55.13,55.13,55.13,55.13,55.13,NA,NA,NA,NA
Florida,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.85,3.85,3.85,3.85,3.85,14.1,14.1,14.1,14.1,14.1,14.1,14.1,14.1,14.1,14.1,14.1,21.79,27.56,27.56,27.56,39.74,50.96,47.76,47.76,52.24,52.24,52.24,52.24,59.94,59.94,59.94,59.94,59.94,59.94,59.94,59.94,59.94,63.78,66.99,66.99,66.99,66.99,66.99,66.99,66.99,66.99,66.99,66.99,66.99,66.99,66.99,66.99,66.99,66.99,66.99,66.99,66.99,66.99,66.99,66.99,66.99,66.99,66.99,66.99,66.99,66.99,66.99,66.99,66.99,63.78,63.78,63.78,63.78,63.78,63.78,63.78,63.78,63.78,63.78,63.78,63.78,63.78,63.78,63.78,63.78,61.22,61.22,61.22,61.22,61.22,61.22,61.22,61.22,61.22,61.22,61.22,61.22,61.22,61.22,61.22,61.22,61.22,61.22,61.22,58.65,58.65,58.65,58.65,58.65,58.65,58.65,58.65,58.65,58.65,58.65,58.65,58.65,58.65,58.65,58.65,58.65,58.65,58.65,58.65,58.65,58.65,58.65,58.65,58.65,61.22,61.22,61.22,61.22,61.22,61.22,61.22,61.22,61.22,61.22,61.22,61.22,61.22,61.22,61.22,61.22,61.22,61.22,61.22,61.22,61.22,63.78,63.78,63.78,63.78,63.78,63.78,63.78,63.78,61.22,61.22,61.22,61.22,51.6,51.6,51.6,51.6,51.6,51.6,51.6,51.6,51.6,51.6,51.6,51.6,49.04,49.04,49.04,49.04,49.04,49.04,49.04,49.04,49.04,49.04,49.04,49.04,49.04,49.04,46.47,46.47,46.47,46.47,46.47,46.47,46.47,46.47,46.47,46.47,46.47,46.47,46.47,46.47,46.47,46.47,46.47,46.47,46.47,46.47,46.47,46.47,46.47,46.47,46.47,40.71,40.71,40.71,40.71,40.71,40.71,36.86,28.21,28.21,28.21,28.21,28.21,28.21,28.21,28.21,28.21,28.21,28.21
Georgia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.74,22.44,22.44,25,25,25,30.13,30.13,30.13,30.13,30.13,32.69,32.69,32.69,40.38,40.38,40.38,40.38,40.38,40.38,40.38,46.15,51.28,51.28,51.28,51.28,51.28,51.28,51.28,51.28,51.28,51.28,51.28,51.28,51.28,51.28,51.28,51.28,51.28,53.21,53.21,53.21,51.92,51.92,51.92,54.49,54.49,54.49,54.49,54.49,54.49,54.49,54.49,58.33,58.33,58.33,60.9,60.9,60.9,60.9,60.9,64.74,64.74,64.74,64.74,64.74,64.74,64.74,64.74,64.74,64.74,64.74,64.74,64.74,64.74,64.74,64.74,62.82,62.82,62.82,62.82,62.82,62.82,62.82,62.82,62.82,62.82,62.82,62.82,62.82,62.82,62.82,62.82,62.82,62.82,62.82,62.82,62.82,62.82,62.82,62.82,62.82,62.82,62.82,62.82,62.82,62.82,62.82,62.82,62.82,62.82,57.69,57.69,57.69,57.69,57.69,57.69,57.69,57.69,57.69,57.69,57.69,57.69,56.41,56.41,56.41,56.41,56.41,56.41,56.41,56.41,56.41,56.41,56.41,56.41,56.41,56.41,56.41,56.41,56.41,56.41,56.41,56.41,56.41,56.41,56.41,56.41,56.41,56.41,56.41,56.41,56.41,56.41,56.41,56.41,56.41,56.41,53.85,52.56,52.56,52.56,52.56,52.56,52.56,52.56,51.28,51.28,51.28,51.28,51.28,51.28,51.28,51.28,51.28,51.28,51.28,51.28,51.28,51.28,51.28,51.28,51.28,47.44,47.44,47.44,47.44,47.44,48.72,48.72,48.72,44.87,44.87,44.87,44.87,48.72,48.72,48.72,48.72,48.72,48.72,48.72,48.72,48.72,49.36,49.36,49.36,49.36,49.36,49.36,49.36,49.36,NA,NA,NA,NA
